DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_TIME,DEP_DELAY,CANCELLED,DIVERTED,DISTANCE
28,1,WN,MCI,1125.0,0.0,0.0,0.0,967.0
10,4,WN,DAL,1142.0,2.0,0.0,0.0,296.0
25,5,OO,SEA,1558.0,-1.0,0.0,0.0,679.0
18,5,CO,MIA,846.0,11.0,0.0,0.0,964.0
19,6,US,SAN,1624.0,-6.0,0.0,0.0,304.0
15,2,WN,BWI,2024.0,-1.0,0.0,0.0,327.0
13,7,MQ,JFK,1452.0,-3.0,0.0,0.0,425.0
4,5,WN,PDX,1738.0,3.0,0.0,0.0,630.0
12,6,DL,ATL,1343.0,-2.0,0.0,0.0,581.0
9,3,EV,DTW,856.0,-3.0,0.0,0.0,986.0
26,6,US,SJU,941.0,-4.0,0.0,0.0,1576.0
14,1,DL,ATL,1637.0,17.0,0.0,0.0,746.0
18,5,OO,BIS,1058.0,-3.0,0.0,0.0,386.0
3,4,MQ,CLE,1025.0,-5.0,0.0,0.0,315.0
9,3,AA,SJC,833.0,-7.0,0.0,0.0,1438.0
2,3,AA,LAS,1147.0,-3.0,0.0,0.0,236.0
27,7,US,LAX,1622.0,7.0,0.0,0.0,370.0
13,7,US,PHX,1337.0,7.0,0.0,0.0,868.0
17,4,OO,SFO,1642.0,33.0,0.0,0.0,250.0
28,1,FL,MCI,1710.0,-5.0,0.0,0.0,692.0
5,6,DL,MSP,926.0,1.0,0.0,0.0,1532.0
29,2,US,BOS,1804.0,34.0,0.0,0.0,280.0
4,5,AA,MSP,814.0,-1.0,0.0,0.0,852.0
9,3,US,PHX,1551.0,1.0,0.0,0.0,1276.0
4,5,MQ,DFW,1555.0,-5.0,0.0,0.0,282.0
4,5,US,IAH,1746.0,1.0,0.0,0.0,1325.0
7,1,US,LAX,1111.0,-4.0,0.0,0.0,2402.0
28,1,OO,SLC,800.0,-6.0,0.0,0.0,1250.0
30,3,CO,ORD,533.0,3.0,0.0,0.0,925.0
3,4,US,BWI,1708.0,3.0,0.0,0.0,1999.0
28,1,MQ,TUL,1613.0,-12.0,0.0,0.0,585.0
1,2,US,ROC,825.0,-5.0,0.0,0.0,573.0
10,4,FL,ATL,2138.0,38.0,0.0,0.0,946.0
30,3,WN,TUS,908.0,3.0,0.0,0.0,1440.0
13,7,EV,LEX,1108.0,-7.0,0.0,0.0,296.0
2,3,OO,PDX,1658.0,-2.0,0.0,0.0,129.0
18,5,WN,LAX,1917.0,-3.0,0.0,0.0,337.0
